Model,Domain,Subgroup_Type,Subgroup,N,Accuracy,F1,Kappa,QWK,Accuracy_CI_Lower,Accuracy_CI_Upper,Small_N_Flag
DeepSeek-R1,Content,Gender,Male,172,0.4070,0.2511,0.1502,0.2255,0.3372,0.4826,False
DeepSeek-R1,Content,Gender,Female,144,0.4792,0.3574,0.2643,0.2752,0.3889,0.5625,False
DeepSeek-R1,Content,Gender,Other,6,0.3333,0.1333,0.1111,0.7333,0.0000,0.6667,True
DeepSeek-R1,Content,Age,18-24,83,0.3855,0.2354,0.1223,0.2380,0.2771,0.4940,False
DeepSeek-R1,Content,Age,25-30,239,0.4561,0.3270,0.2258,0.2881,0.3974,0.5146,False
DeepSeek-R1,Coping,Race,White,206,0.3544,0.2950,0.1142,0.4132,0.2864,0.4223,False
DeepSeek-R1,Coping,Race,Black / African American,78,0.5000,0.4695,0.3497,0.4151,0.3971,0.6154,False
DeepSeek-R1,Coping,Race,Other,39,0.3333,0.2733,0.1522,0.1702,0.1795,0.4615,False
DeepSeek-R1,Coping,Gender,Male,173,0.3642,0.3227,0.1092,0.3196,0.2890,0.4335,False
DeepSeek-R1,Coping,Gender,Female,144,0.4167,0.3810,0.2484,0.3947,0.3403,0.4931,False
DeepSeek-R1,Coping,Gender,Other,6,0.3333,0.2250,0.0769,0.6000,0.0000,0.6667,True
DeepSeek-R1,Coping,Age,18-24,83,0.3976,0.2784,0.1670,0.2395,0.3012,0.5060,False
DeepSeek-R1,Coping,Age,25-30,240,0.3833,0.3673,0.1805,0.4302,0.3249,0.4459,False
DeepSeek-R1,Quitting,Race,White,206,0.3883,0.3181,0.1604,0.3851,0.3204,0.4563,False
DeepSeek-R1,Quitting,Race,Black / African American,78,0.4744,0.4376,0.3178,0.5630,0.3718,0.5897,False
DeepSeek-R1,Quitting,Race,Other,39,0.3333,0.3079,0.1578,0.3150,0.2051,0.4872,False
DeepSeek-R1,Quitting,Gender,Male,173,0.3699,0.3128,0.1260,0.3440,0.3006,0.4393,False
DeepSeek-R1,Quitting,Gender,Female,144,0.4514,0.4258,0.2959,0.4632,0.3681,0.5347,False
DeepSeek-R1,Quitting,Gender,Other,6,0.1667,0.0800,-0.1111,0.6667,0.0000,0.5000,True
DeepSeek-R1,Quitting,Age,18-24,83,0.2771,0.2288,0.0557,0.3744,0.1928,0.3735,False
DeepSeek-R1,Quitting,Age,25-30,240,0.4458,0.4207,0.2582,0.4644,0.3875,0.5125,False
Grok-4-Fast,Content,Race,White,205,0.4780,0.2973,0.1994,0.3920,0.4098,0.5513,False
Grok-4-Fast,Content,Race,Black / African American,78,0.5000,0.3159,0.2798,0.2838,0.3846,0.6154,False
Grok-4-Fast,Content,Race,Other,39,0.4615,0.2968,0.2507,0.1111,0.3077,0.6154,False
Grok-4-Fast,Content,Gender,Male,172,0.4593,0.2625,0.1618,0.1820,0.3837,0.5291,False
Grok-4-Fast,Content,Gender,Female,144,0.5208,0.3474,0.3117,0.3889,0.4444,0.6042,False
Grok-4-Fast,Content,Gender,Other,6,0.1667,0.0667,-0.1111,0.5636,0.0000,0.5000,True
Grok-4-Fast,Content,Age,18-24,83,0.3735,0.2291,0.0902,0.1978,0.2651,0.4819,False
Grok-4-Fast,Content,Age,25-30,239,0.5188,0.3265,0.2795,0.3664,0.4561,0.5858,False
Grok-4-Fast,Coping,Race,White,206,0.4466,0.3194,0.2204,0.4980,0.3785,0.5146,False
Grok-4-Fast,Coping,Race,Black / African American,78,0.4487,0.3952,0.2612,0.3364,0.3333,0.5641,False
Grok-4-Fast,Coping,Race,Other,39,0.3590,0.3434,0.1695,0.2925,0.2051,0.5128,False
Grok-4-Fast,Coping,Gender,Male,173,0.4509,0.3238,0.1995,0.3130,0.3756,0.5260,False
Grok-4-Fast,Coping,Gender,Female,144,0.4167,0.3629,0.2353,0.4665,0.3403,0.5000,False
Grok-4-Fast,Coping,Gender,Other,6,0.5000,0.3333,0.3077,0.6667,0.1667,0.8333,True
Grok-4-Fast,Coping,Age,18-24,83,0.3494,0.2272,0.0912,0.2036,0.2410,0.4458,False
Grok-4-Fast,Coping,Age,25-30,240,0.4667,0.3906,0.2677,0.4999,0.4042,0.5292,False
Grok-4-Fast,Quitting,Race,White,206,0.4466,0.3239,0.2166,0.4608,0.3786,0.5194,False
Grok-4-Fast,Quitting,Race,Black / African American,78,0.4744,0.4724,0.3042,0.6184,0.3590,0.5901,False
Grok-4-Fast,Quitting,Race,Other,39,0.3077,0.2832,0.1144,0.2886,0.1538,0.4359,False
Grok-4-Fast,Quitting,Gender,Male,173,0.4335,0.3048,0.1833,0.3752,0.3584,0.5088,False
Grok-4-Fast,Quitting,Gender,Female,144,0.4375,0.4158,0.2674,0.5202,0.3611,0.5208,False
Grok-4-Fast,Quitting,Gender,Other,6,0.5000,0.3250,0.3077,0.7273,0.1667,0.8333,True
Grok-4-Fast,Quitting,Age,18-24,83,0.3253,0.2598,0.0954,0.3825,0.2289,0.4217,False
Grok-4-Fast,Quitting,Age,25-30,240,0.4750,0.4299,0.2775,0.5314,0.4125,0.5333,False
Gemini-2.5-Pro,Content,Race,White,205,0.4146,0.2552,0.1209,0.3422,0.3512,0.4829,False
Gemini-2.5-Pro,Content,Race,Black / African American,78,0.4615,0.3440,0.2403,0.2364,0.3590,0.5769,False
Gemini-2.5-Pro,Content,Race,Other,39,0.3846,0.2511,0.1680,0.0943,0.2308,0.5385,False
Gemini-2.5-Pro,Content,Gender,Male,172,0.3953,0.2201,0.0804,0.1026,0.3254,0.4709,False
Gemini-2.5-Pro,Content,Gender,Female,144,0.4583,0.3246,0.2516,0.3565,0.3819,0.5347,False
Gemini-2.5-Pro,Content,Gender,Other,6,0.3333,0.2667,0.2000,0.6364,0.0000,0.6667,True
Gemini-2.5-Pro,Content,Age,18-24,83,0.3855,0.2312,0.1365,0.2170,0.2771,0.4940,False
Gemini-2.5-Pro,Content,Age,25-30,239,0.4351,0.3022,0.1714,0.2954,0.3682,0.4937,False
Gemini-2.5-Pro,Coping,Race,White,206,0.4126,0.3376,0.1833,0.4923,0.3494,0.4806,False
Gemini-2.5-Pro,Coping,Race,Black / African American,78,0.4872,0.4780,0.3214,0.3310,0.3718,0.5897,False
