k_train,feature_set,ensemble,domain,N,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho
7,Demographics,RF only,content,898,0.5233853006681515,0.3931246590310406,0.31771639565433507,0.4486528576530735,0.7115812917594655,0.5305817680872242,
7,Demographics,RF only,coping,898,0.44988864142538976,0.40681416219036726,0.2662282239762871,0.5431584666298503,0.6481069042316259,0.5359174690399868,
7,Demographics,RF only,quitting,898,0.44988864142538976,0.40831776306745143,0.2662282239762871,0.5887656470777807,0.6859688195991092,0.5750358883061379,
7,Demographics,LLM only,content,898,0.49888641425389757,0.33663789420826873,0.26902330225642246,0.4021271686584549,0.720489977728285,0.49698622187210356,0.05567118597139857
7,Demographics,LLM only,coping,898,0.4309576837416481,0.3667492103926846,0.2276926442991426,0.5025694083268669,0.6547884187082406,0.5241001432774849,0.037328681197605115
7,Demographics,LLM only,quitting,898,0.45657015590200445,0.40622798524406384,0.26510091312331774,0.5588707169731756,0.6959910913140311,0.5663078062865186,0.0810103396231394
7,Demographics,Mean (50/50),content,898,0.5044543429844098,0.3488055343529159,0.2777958505024217,0.4238573011417134,0.72271714922049,0.5085299765433925,0.0309294787065871
7,Demographics,Mean (50/50),coping,898,0.4298440979955457,0.3595534347940875,0.22643906165087668,0.5296223644997025,0.6737193763919822,0.5309271393248389,-0.03947368421052631
7,Demographics,Mean (50/50),quitting,898,0.42761692650334077,0.37075894226583606,0.22872730614666104,0.5849092570434415,0.6937639198218263,0.5499624525609438,-0.060967559197604444
7,Demographics,RF-anchor 70/30,content,898,0.5289532293986637,0.3829870763204096,0.32143482377320054,0.4623882292971986,0.7193763919821826,0.5265175546865688,-0.005824982444154834
7,Demographics,RF-anchor 70/30,coping,898,0.4532293986636971,0.4084997834042278,0.2678541480205969,0.5529175218720409,0.6547884187082406,0.541723995623922,0.09210526315789477
7,Demographics,RF-anchor 70/30,quitting,898,0.4354120267260579,0.39275860009066993,0.2455007059665777,0.6014572767857875,0.678173719376392,0.5633742069254927,0.0988033871712585
7,Demographics,LLM-anchor 30/70,content,898,0.5,0.3401832503846178,0.2709035543275421,0.41970037781895553,0.7238307349665924,0.4982775180590715,0.08115547460156658
7,Demographics,LLM-anchor 30/70,coping,898,0.4365256124721604,0.37516807082786074,0.2382558548892727,0.5378242155683254,0.6703786191536748,0.5521330292333623,0.03141629263134145
7,Demographics,LLM-anchor 30/70,quitting,898,0.44766146993318484,0.39751740709030703,0.2567143157522336,0.5971784996056082,0.6971046770601337,0.5771846355092819,0.0650111885699673
7,Avg-History,RF only,content,898,0.4977728285077951,0.32909975290174265,0.2742699657382055,0.47930614432587826,0.7193763919821826,0.4708167110782517,
7,Avg-History,RF only,coping,898,0.4287305122494432,0.3818143540565657,0.2289832950899514,0.5661469010613702,0.6926503340757239,0.5537228981910022,
7,Avg-History,RF only,quitting,898,0.45879732739420936,0.40136905185760796,0.26742973970581574,0.5946544728307803,0.6948775055679287,0.5567663256154457,
7,Avg-History,LLM only,content,898,0.49888641425389757,0.33663789420826873,0.26902330225642246,0.4021271686584549,0.720489977728285,0.49698622187210356,0.05567118597139857
7,Avg-History,LLM only,coping,898,0.4309576837416481,0.3667492103926846,0.2276926442991426,0.5025694083268669,0.6547884187082406,0.5241001432774849,0.037328681197605115
7,Avg-History,LLM only,quitting,898,0.45657015590200445,0.40622798524406384,0.26510091312331774,0.5588707169731756,0.6959910913140311,0.5663078062865186,0.0810103396231394
7,Avg-History,Mean (50/50),content,898,0.4688195991091314,0.31448349121505964,0.22273796216993036,0.43573535078682246,0.7193763919821826,0.47599648534227973,0.07432912610945656
7,Avg-History,Mean (50/50),coping,898,0.44097995545657015,0.3615719666558888,0.2393618547046764,0.5626665385908458,0.7093541202672605,0.5587160173965057,0.002626952866971788
7,Avg-History,Mean (50/50),quitting,898,0.4398663697104677,0.37074539996863365,0.23892406662914867,0.5699443591252469,0.7060133630289532,0.5444080998332991,0.04269786119864683
7,Avg-History,RF-anchor 70/30,content,898,0.4955456570155902,0.32565573264312225,0.268235031695892,0.4798561762954838,0.7171492204899778,0.46252586293956566,0.13157894736842105
7,Avg-History,RF-anchor 70/30,coping,898,0.4354120267260579,0.38909770594960136,0.2361062873422627,0.5810984043755367,0.6959910913140311,0.5605412782970871,0.2150932185258581
7,Avg-History,RF-anchor 70/30,quitting,898,0.4621380846325167,0.41541102808134606,0.27213626447390515,0.6034694843084687,0.6993318485523385,0.565220421435621,-0.05669872981077808
7,Avg-History,LLM-anchor 30/70,content,898,0.4977728285077951,0.33965595894803424,0.2678147869601689,0.43203589816631105,0.7182628062360802,0.49900382403033516,0.032854688201836735
7,Avg-History,LLM-anchor 30/70,coping,898,0.4376391982182628,0.3761956202188138,0.24136119698612168,0.5312942345256191,0.6670378619153675,0.5454035354435433,-0.001300724235102537
7,Avg-History,LLM-anchor 30/70,quitting,898,0.4521158129175947,0.3990593655306644,0.2608150816369893,0.5814989682538256,0.6993318485523385,0.5707145327656554,0.07678264596658163
7,Demo+History,RF only,content,898,0.49888641425389757,0.34891556713952543,0.2860953780814851,0.4748150063408809,0.7015590200445434,0.5243266897402236,
7,Demo+History,RF only,coping,898,0.4198218262806236,0.37076955754486063,0.22890887155787898,0.5535783295383414,0.6481069042316259,0.5507132237330318,
7,Demo+History,RF only,quitting,898,0.4198218262806236,0.3854601555797635,0.2314106744775538,0.6171103401316429,0.6815144766146993,0.5726262111167771,
7,Demo+History,LLM only,content,898,0.49888641425389757,0.33663789420826873,0.26902330225642246,0.4021271686584549,0.720489977728285,0.49698622187210356,0.05567118597139857
7,Demo+History,LLM only,coping,898,0.4309576837416481,0.3667492103926846,0.2276926442991426,0.5025694083268669,0.6547884187082406,0.5241001432774849,0.037328681197605115
7,Demo+History,LLM only,quitting,898,0.45657015590200445,0.40622798524406384,0.26510091312331774,0.5588707169731756,0.6959910913140311,0.5663078062865186,0.0810103396231394
7,Demo+History,Mean (50/50),content,898,0.48775055679287305,0.336510336480092,0.25505669850246704,0.4338511635878415,0.7238307349665924,0.5134524695954331,0.043765702109193685
7,Demo+History,Mean (50/50),coping,898,0.4142538975501114,0.3348597647681455,0.20379067031214704,0.5398518862056869,0.6759465478841871,0.5308863263002631,0.05130239377093456
7,Demo+History,Mean (50/50),quitting,898,0.4209354120267261,0.36626777665295085,0.22206914015449997,0.6142215952808412,0.700445434298441,0.5535112855301692,0.03916456823025015
7,Demo+History,RF-anchor 70/30,content,898,0.49665924276169265,0.3449904113147329,0.27841480801982554,0.4845410885655983,0.7138084632516704,0.5253260792576725,0.2147791890991355
7,Demo+History,RF-anchor 70/30,coping,898,0.4198218262806236,0.36187430645580426,0.22557759981990877,0.5560907529411987,0.6503340757238307,0.5486217442739182,0.1505526001304979
7,Demo+History,RF-anchor 70/30,quitting,898,0.4209354120267261,0.38390311782517594,0.22926215749156986,0.6213923175365916,0.6792873051224945,0.5665883588529614,0.04156646934131855
7,Demo+History,LLM-anchor 30/70,content,898,0.4955456570155902,0.3378261759907607,0.2647459648995969,0.4142108984746802,0.7238307349665924,0.5038363335975841,0.03033365902287741
7,Demo+History,LLM-anchor 30/70,coping,898,0.4287305122494432,0.3676032121107524,0.22727097363984794,0.5292793639103281,0.6547884187082406,0.5282683252785617,0.03950532402776775
7,Demo+History,LLM-anchor 30/70,quitting,898,0.4521158129175947,0.40321503850979024,0.2630713367148316,0.5963391829689298,0.6993318485523385,0.5764893109331911,0.07413899829893206
7,Embedding,RF only,content,883,0.3352208380520951,0.20310520348237718,0.0209681501713187,0.050055665476444466,0.6398640996602492,0.3483892273761515,-0.054344738131440556
7,Embedding,RF only,coping,883,0.3352208380520951,0.24126260662868565,0.07789948212891085,0.0972703758070147,0.579841449603624,0.3698948467058056,-0.038688558491018286
7,Embedding,RF only,quitting,883,0.2944507361268403,0.20950233184693903,0.01505238883040061,0.0669491724763106,0.5855039637599094,0.35917365419590475,-0.15836030141115734
7,Embedding,LLM only,content,883,0.4983012457531144,0.3327292110730605,0.26758213672509135,0.40304626064242177,0.7202718006795017,0.4934726852454004,0.06142260495606406
7,Embedding,LLM only,coping,883,0.43261608154020387,0.3696076041613433,0.23033307120040636,0.5081015372245726,0.6579841449603624,0.5272029735979392,0.06044360193736455
7,Embedding,LLM only,quitting,883,0.4575311438278596,0.4048738018164263,0.26661892558286326,0.5595275667737477,0.6976217440543602,0.5675786828463774,0.09234430878768221
7,Embedding,Mean (50/50),content,883,0.39750849377123443,0.2219009926072583,0.10405767525247223,0.18526194748531333,0.6964892412231031,0.3530250110401863,-0.0819997080024777
