k_train,feature_set,ensemble,domain,N,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho
3,Demographics,RF only,content,2102,0.5,0.3543785765355586,0.2810810459005191,0.3775649197138261,0.6874405328258801,0.4745848838017343,
3,Demographics,RF only,coping,2102,0.4110371075166508,0.3648146551356641,0.21912690122582879,0.4474492162547067,0.6108468125594672,0.5088527228466821,
3,Demographics,RF only,quitting,2102,0.43387250237868696,0.3820347441704043,0.24630259261446552,0.5166089969391572,0.6646051379638439,0.5471939191973795,
3,Demographics,LLM only,content,2102,0.48525214081826834,0.3341881117126067,0.25778047263397463,0.3811302693116563,0.6902949571836346,0.4587382715674013,0.03256154816541405
3,Demographics,LLM only,coping,2102,0.4143672692673644,0.36119998231653055,0.21668667158086252,0.4748572192171605,0.6217887725975262,0.5044770608823858,0.016306426568457325
3,Demographics,LLM only,quitting,2102,0.4138915318744053,0.36320682456649617,0.21888245279809082,0.5155704601003067,0.6446241674595623,0.5283261884135931,-0.0036122369668061434
3,Demographics,Mean (50/50),content,2102,0.4923882017126546,0.33276981033514746,0.26278293579392953,0.3973333128670231,0.7040913415794482,0.4637664041485052,0.03872039518848544
3,Demographics,Mean (50/50),coping,2102,0.41817316841103713,0.3522792430207118,0.22029945157766206,0.48323985510423273,0.647954329210276,0.5278268793627868,-0.029993353969072052
3,Demographics,Mean (50/50),quitting,2102,0.4357754519505233,0.3696619490393055,0.24231762839410864,0.5404918812640993,0.6798287345385348,0.5490280486417306,-0.02875498342448572
3,Demographics,RF-anchor 70/30,content,2102,0.5028544243577545,0.34471298560648644,0.2837270363459804,0.4042058084465845,0.6974310180780209,0.4826910288979052,0.035653842267146366
3,Demographics,RF-anchor 70/30,coping,2102,0.41579448144624165,0.36652673689465426,0.22404622915150463,0.4775276047087592,0.6203615604186489,0.5227908082659803,-0.08173601110705958
3,Demographics,RF-anchor 70/30,quitting,2102,0.4462416745956232,0.3926466877122813,0.26200231649051686,0.5389390929224727,0.6698382492863939,0.5572071032480622,-0.0861308667911334
3,Demographics,LLM-anchor 30/70,content,2102,0.4862036156041865,0.32753778266485456,0.2567272898716423,0.3931552435947563,0.6960038058991437,0.46397906710473474,0.031657811553969364
