Model,Method,Domain,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
Gemini-2.5-Pro,Few-shot (all),Coping,0.2341,0.1981,-0.0021,0.1388,0.4883,0.3806,0.0000,299
Gemini-2.5-Pro,Few-shot (select),Coping,0.3010,0.2564,0.0772,0.1517,0.4983,0.3753,1.0000,299
Gemini-2.5-Pro,PP,Coping,0.4415,0.4000,0.2456,0.4214,0.6388,0.5144,0.0000,299
Gemini-2.5-Pro,Hybrid RF+PP,Coping,0.4114,0.3673,0.2036,0.4173,0.6488,0.5143,1.0000,299
GPT-4o-mini,Zero-shot (all),Quitting,0.3110,0.1769,0.0488,0.0953,0.5686,0.3603,,299
GPT-4o-mini,Zero-shot (select),Quitting,0.3244,0.2398,0.0601,0.1585,0.6154,0.4243,,299
GPT-4o-mini,Few-shot (all),Quitting,0.2709,0.2017,0.0146,0.1082,0.5184,0.3536,-1.0000,299
GPT-4o-mini,Few-shot (select),Quitting,0.3712,0.3068,0.1557,0.1650,0.5518,0.4234,,299
GPT-4o-mini,PP,Quitting,0.3244,0.2136,0.0981,0.2760,0.5920,0.4627,,299
GPT-4o-mini,Hybrid RF+PP,Quitting,0.3880,0.2816,0.1698,0.4183,0.6789,0.5395,,299
GPT-5,Zero-shot (all),Quitting,0.1405,0.1001,-0.0054,0.0462,0.1906,0.1991,,299
GPT-5,Zero-shot (select),Quitting,0.1639,0.1386,-0.0024,0.0826,0.2642,0.2629,,299
GPT-5,Few-shot (all),Quitting,0.2040,0.1675,0.0089,0.0992,0.3579,0.3210,1.0000,299
GPT-5,Few-shot (select),Quitting,0.2207,0.1958,0.0261,0.1122,0.4147,0.3775,1.0000,299
GPT-5,PP,Quitting,0.4114,0.3895,0.2178,0.4864,0.6455,0.5229,,299
GPT-5,Hybrid RF+PP,Quitting,0.4548,0.4212,0.2820,0.4832,0.6522,0.5569,,299
DeepSeek-R1,Zero-shot (all),Quitting,0.1338,0.1026,-0.0108,0.0302,0.2241,0.2228,-1.0000,299
DeepSeek-R1,Zero-shot (select),Quitting,0.1973,0.1566,-0.0008,0.0761,0.3411,0.3076,-1.0000,299
DeepSeek-R1,Few-shot (all),Quitting,0.2876,0.2552,0.0761,0.1056,0.4816,0.3833,-1.0000,299
DeepSeek-R1,Few-shot (select),Quitting,0.3177,0.2541,0.0808,0.1702,0.5652,0.4075,-1.0000,299
DeepSeek-R1,PP,Quitting,0.4047,0.3719,0.2077,0.4356,0.6455,0.5194,,299
DeepSeek-R1,Hybrid RF+PP,Quitting,0.4147,0.3682,0.2274,0.4007,0.6288,0.5118,,299
Grok-4-Fast,Zero-shot (all),Quitting,0.2776,0.1676,0.0326,0.0750,0.4983,0.3511,,299
Grok-4-Fast,Zero-shot (select),Quitting,0.3144,0.2256,0.0602,0.1854,0.5686,0.3820,,299
Grok-4-Fast,Few-shot (all),Quitting,0.3478,0.2816,0.0818,0.2156,0.6388,0.4053,,299
Grok-4-Fast,Few-shot (select),Quitting,0.3579,0.2819,0.0961,0.2218,0.6355,0.4209,1.0000,299
Grok-4-Fast,PP,Quitting,0.4415,0.3990,0.2367,0.4933,0.6722,0.5203,,299
Grok-4-Fast,Hybrid RF+PP,Quitting,0.4916,0.4378,0.2996,0.5388,0.7023,0.5498,,299
Gemini-2.5-Pro,Zero-shot (all),Quitting,0.2977,0.1894,0.0170,0.0836,0.5853,0.3489,,299
Gemini-2.5-Pro,Zero-shot (select),Quitting,0.3344,0.2411,0.0752,0.1506,0.6054,0.4107,1.0000,299
Gemini-2.5-Pro,Few-shot (all),Quitting,0.3077,0.2335,0.0686,0.1866,0.5753,0.4134,1.0000,299
Gemini-2.5-Pro,Few-shot (select),Quitting,0.3110,0.2628,0.0723,0.1744,0.5552,0.3964,1.0000,299
Gemini-2.5-Pro,PP,Quitting,0.4515,0.4079,0.2590,0.4882,0.6589,0.5239,,299
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,0.4348,0.3738,0.2262,0.4751,0.6689,0.4906,1.0000,299
