Model,Method,Domain,Category,Metric,Value,SE,CI_Lower,CI_Upper,Bootstrap_N,N
GPT-5,Few-shot (select),Coping,CBT,Directional Macro-F1,0.4027,0.0427,0.3148,0.4842,2000,150
GPT-5,Few-shot (select),Coping,CBT,Spearman_Rho,-0.3600,0.2251,-0.7500,0.1469,2000,150
GPT-5,Few-shot (select),Quitting,CBT,Accuracy,0.2067,0.0333,0.1400,0.2733,2000,150
GPT-5,Few-shot (select),Quitting,CBT,F1,0.1733,0.0309,0.1123,0.2357,2000,150
GPT-5,Few-shot (select),Quitting,CBT,Kappa,-0.0022,0.0392,-0.0798,0.0780,2000,150
GPT-5,Few-shot (select),Quitting,CBT,QWK,0.0633,0.0743,-0.0845,0.2069,2000,150
GPT-5,Few-shot (select),Quitting,CBT,Directional Accuracy,0.3600,0.0391,0.2867,0.4333,2000,150
GPT-5,Few-shot (select),Quitting,CBT,Directional Macro-F1,0.3289,0.0390,0.2520,0.4047,2000,150
GPT-5,Few-shot (select),Quitting,CBT,Spearman_Rho,-0.0014,0.2231,-0.3761,0.5000,2000,150
GPT-5,PP,Content,ACT,Accuracy,0.4392,0.0398,0.3581,0.5203,2000,148
GPT-5,PP,Content,ACT,F1,0.2725,0.0255,0.2207,0.3202,2000,148
GPT-5,PP,Content,ACT,Kappa,0.1766,0.0560,0.0655,0.2820,2000,148
GPT-5,PP,Content,ACT,QWK,0.2885,0.0844,0.1238,0.4467,2000,148
GPT-5,PP,Content,ACT,Directional Accuracy,0.6959,0.0379,0.6216,0.7703,2000,148
GPT-5,PP,Content,ACT,Directional Macro-F1,0.4336,0.0460,0.3480,0.5255,2000,148
GPT-5,PP,Content,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,148
GPT-5,PP,Coping,ACT,Accuracy,0.3758,0.0398,0.2953,0.4497,2000,149
GPT-5,PP,Coping,ACT,F1,0.3267,0.0429,0.2413,0.4073,2000,149
GPT-5,PP,Coping,ACT,Kappa,0.1549,0.0530,0.0505,0.2565,2000,149
GPT-5,PP,Coping,ACT,QWK,0.4144,0.0770,0.2579,0.5548,2000,149
GPT-5,PP,Coping,ACT,Directional Accuracy,0.6309,0.0398,0.5503,0.7047,2000,149
GPT-5,PP,Coping,ACT,Directional Macro-F1,0.5245,0.0458,0.4321,0.6112,2000,149
GPT-5,PP,Coping,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
GPT-5,PP,Quitting,ACT,Accuracy,0.4094,0.0405,0.3289,0.4899,2000,149
GPT-5,PP,Quitting,ACT,F1,0.3603,0.0435,0.2694,0.4428,2000,149
GPT-5,PP,Quitting,ACT,Kappa,0.2246,0.0500,0.1248,0.3173,2000,149
GPT-5,PP,Quitting,ACT,QWK,0.5355,0.0674,0.3914,0.6566,2000,149
GPT-5,PP,Quitting,ACT,Directional Accuracy,0.6644,0.0380,0.5839,0.7383,2000,149
GPT-5,PP,Quitting,ACT,Directional Macro-F1,0.5232,0.0432,0.4375,0.6036,2000,149
GPT-5,PP,Quitting,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
GPT-5,PP,Content,CBT,Accuracy,0.4655,0.0380,0.3908,0.5402,2000,174
GPT-5,PP,Content,CBT,F1,0.3590,0.0526,0.2601,0.4557,2000,174
GPT-5,PP,Content,CBT,Kappa,0.2386,0.0512,0.1344,0.3352,2000,174
GPT-5,PP,Content,CBT,QWK,0.3761,0.0736,0.2314,0.5142,2000,174
GPT-5,PP,Content,CBT,Directional Accuracy,0.6552,0.0359,0.5862,0.7241,2000,174
GPT-5,PP,Content,CBT,Directional Macro-F1,0.4659,0.0487,0.3689,0.5596,2000,174
GPT-5,PP,Content,CBT,Spearman_Rho,,,,,2000,174
GPT-5,PP,Coping,CBT,Accuracy,0.3793,0.0376,0.3046,0.4483,2000,174
GPT-5,PP,Coping,CBT,F1,0.3317,0.0430,0.2401,0.4144,2000,174
GPT-5,PP,Coping,CBT,Kappa,0.1757,0.0467,0.0820,0.2637,2000,174
GPT-5,PP,Coping,CBT,QWK,0.3761,0.0747,0.2227,0.5078,2000,174
GPT-5,PP,Coping,CBT,Directional Accuracy,0.5977,0.0384,0.5230,0.6724,2000,174
GPT-5,PP,Coping,CBT,Directional Macro-F1,0.5041,0.0433,0.4204,0.5853,2000,174
GPT-5,PP,Coping,CBT,Spearman_Rho,,,,,2000,174
GPT-5,PP,Quitting,CBT,Accuracy,0.4023,0.0374,0.3276,0.4770,2000,174
GPT-5,PP,Quitting,CBT,F1,0.3956,0.0458,0.2986,0.4800,2000,174
GPT-5,PP,Quitting,CBT,Kappa,0.1983,0.0493,0.1020,0.2937,2000,174
GPT-5,PP,Quitting,CBT,QWK,0.4486,0.0711,0.3001,0.5856,2000,174
GPT-5,PP,Quitting,CBT,Directional Accuracy,0.6322,0.0371,0.5575,0.7013,2000,174
GPT-5,PP,Quitting,CBT,Directional Macro-F1,0.5224,0.0423,0.4400,0.6014,2000,174
GPT-5,PP,Quitting,CBT,Spearman_Rho,,,,,2000,174
GPT-5,Hybrid RF+PP,Content,ACT,Accuracy,0.4730,0.0411,0.3919,0.5541,2000,148
GPT-5,Hybrid RF+PP,Content,ACT,F1,0.3492,0.0399,0.2708,0.4247,2000,148
GPT-5,Hybrid RF+PP,Content,ACT,Kappa,0.2398,0.0588,0.1266,0.3504,2000,148
GPT-5,Hybrid RF+PP,Content,ACT,QWK,0.2657,0.0922,0.0831,0.4423,2000,148
GPT-5,Hybrid RF+PP,Content,ACT,Directional Accuracy,0.7162,0.0369,0.6419,0.7838,2000,148
GPT-5,Hybrid RF+PP,Content,ACT,Directional Macro-F1,0.5333,0.0539,0.4240,0.6365,2000,148
GPT-5,Hybrid RF+PP,Content,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,148
GPT-5,Hybrid RF+PP,Coping,ACT,Accuracy,0.4362,0.0400,0.3557,0.5101,2000,149
GPT-5,Hybrid RF+PP,Coping,ACT,F1,0.3885,0.0456,0.2921,0.4772,2000,149
GPT-5,Hybrid RF+PP,Coping,ACT,Kappa,0.2409,0.0520,0.1359,0.3429,2000,149
GPT-5,Hybrid RF+PP,Coping,ACT,QWK,0.3913,0.0778,0.2274,0.5323,2000,149
GPT-5,Hybrid RF+PP,Coping,ACT,Directional Accuracy,0.6174,0.0399,0.5369,0.6913,2000,149
GPT-5,Hybrid RF+PP,Coping,ACT,Directional Macro-F1,0.5025,0.0447,0.4081,0.5865,2000,149
GPT-5,Hybrid RF+PP,Coping,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
GPT-5,Hybrid RF+PP,Quitting,ACT,Accuracy,0.4966,0.0398,0.4228,0.5772,2000,149
GPT-5,Hybrid RF+PP,Quitting,ACT,F1,0.4464,0.0428,0.3596,0.5279,2000,149
GPT-5,Hybrid RF+PP,Quitting,ACT,Kappa,0.3413,0.0489,0.2461,0.4371,2000,149
GPT-5,Hybrid RF+PP,Quitting,ACT,QWK,0.5371,0.0667,0.3978,0.6560,2000,149
GPT-5,Hybrid RF+PP,Quitting,ACT,Directional Accuracy,0.6644,0.0389,0.5904,0.7383,2000,149
GPT-5,Hybrid RF+PP,Quitting,ACT,Directional Macro-F1,0.5490,0.0443,0.4611,0.6361,2000,149
GPT-5,Hybrid RF+PP,Quitting,ACT,Spearman_Rho,,,,,2000,149
GPT-5,Hybrid RF+PP,Content,CBT,Accuracy,0.4713,0.0374,0.3966,0.5460,2000,174
GPT-5,Hybrid RF+PP,Content,CBT,F1,0.3202,0.0330,0.2576,0.3840,2000,174
GPT-5,Hybrid RF+PP,Content,CBT,Kappa,0.2479,0.0498,0.1505,0.3437,2000,174
GPT-5,Hybrid RF+PP,Content,CBT,QWK,0.4510,0.0704,0.3028,0.5737,2000,174
GPT-5,Hybrid RF+PP,Content,CBT,Directional Accuracy,0.7126,0.0343,0.6437,0.7760,2000,174
GPT-5,Hybrid RF+PP,Content,CBT,Directional Macro-F1,0.5656,0.0542,0.4531,0.6637,2000,174
GPT-5,Hybrid RF+PP,Content,CBT,Spearman_Rho,,,,,2000,174
GPT-5,Hybrid RF+PP,Coping,CBT,Accuracy,0.4195,0.0367,0.3448,0.4885,2000,174
GPT-5,Hybrid RF+PP,Coping,CBT,F1,0.3778,0.0429,0.2908,0.4559,2000,174
GPT-5,Hybrid RF+PP,Coping,CBT,Kappa,0.2351,0.0459,0.1430,0.3205,2000,174
GPT-5,Hybrid RF+PP,Coping,CBT,QWK,0.4184,0.0714,0.2730,0.5507,2000,174
GPT-5,Hybrid RF+PP,Coping,CBT,Directional Accuracy,0.6149,0.0357,0.5402,0.6839,2000,174
GPT-5,Hybrid RF+PP,Coping,CBT,Directional Macro-F1,0.5415,0.0415,0.4564,0.6202,2000,174
GPT-5,Hybrid RF+PP,Coping,CBT,Spearman_Rho,,,,,2000,174
GPT-5,Hybrid RF+PP,Quitting,CBT,Accuracy,0.4023,0.0366,0.3276,0.4770,2000,174
GPT-5,Hybrid RF+PP,Quitting,CBT,F1,0.3666,0.0425,0.2786,0.4467,2000,174
GPT-5,Hybrid RF+PP,Quitting,CBT,Kappa,0.2064,0.0465,0.1117,0.2972,2000,174
GPT-5,Hybrid RF+PP,Quitting,CBT,QWK,0.4436,0.0684,0.3057,0.5708,2000,174
GPT-5,Hybrid RF+PP,Quitting,CBT,Directional Accuracy,0.6379,0.0359,0.5688,0.7069,2000,174
GPT-5,Hybrid RF+PP,Quitting,CBT,Directional Macro-F1,0.5541,0.0420,0.4662,0.6344,2000,174
GPT-5,Hybrid RF+PP,Quitting,CBT,Spearman_Rho,,,,,2000,174
DeepSeek-R1,Zero-shot (select),Content,ACT,Accuracy,0.3629,0.0437,0.2823,0.4516,2000,124
DeepSeek-R1,Zero-shot (select),Content,ACT,F1,0.1560,0.0213,0.1181,0.2002,2000,124
DeepSeek-R1,Zero-shot (select),Content,ACT,Kappa,0.0504,0.0382,-0.0226,0.1288,2000,124
DeepSeek-R1,Zero-shot (select),Content,ACT,QWK,0.0132,0.0579,-0.0993,0.1253,2000,124
DeepSeek-R1,Zero-shot (select),Content,ACT,Directional Accuracy,0.6532,0.0429,0.5645,0.7339,2000,124
DeepSeek-R1,Zero-shot (select),Content,ACT,Directional Macro-F1,0.2647,0.0104,0.2427,0.2840,2000,124
DeepSeek-R1,Zero-shot (select),Content,ACT,Spearman_Rho,-0.4500,0.3416,-1.0000,0.2014,2000,124
DeepSeek-R1,Zero-shot (select),Coping,ACT,Accuracy,0.2984,0.0413,0.2256,0.3790,2000,124
DeepSeek-R1,Zero-shot (select),Coping,ACT,F1,0.1341,0.0195,0.0976,0.1728,2000,124
DeepSeek-R1,Zero-shot (select),Coping,ACT,Kappa,-0.0075,0.0398,-0.0844,0.0705,2000,124
DeepSeek-R1,Zero-shot (select),Coping,ACT,QWK,0.0456,0.0740,-0.0905,0.1986,2000,124
DeepSeek-R1,Zero-shot (select),Coping,ACT,Directional Accuracy,0.5484,0.0450,0.4597,0.6371,2000,124
DeepSeek-R1,Zero-shot (select),Coping,ACT,Directional Macro-F1,0.3320,0.0409,0.2623,0.4188,2000,124
DeepSeek-R1,Zero-shot (select),Coping,ACT,Spearman_Rho,-0.0000,0.4702,-1.0000,1.0000,2000,124
DeepSeek-R1,Zero-shot (select),Quitting,ACT,Accuracy,0.2581,0.0398,0.1855,0.3387,2000,124
DeepSeek-R1,Zero-shot (select),Quitting,ACT,F1,0.2124,0.0315,0.1497,0.2723,2000,124
DeepSeek-R1,Zero-shot (select),Quitting,ACT,Kappa,0.0828,0.0422,0.0021,0.1689,2000,124
DeepSeek-R1,Zero-shot (select),Quitting,ACT,QWK,0.1261,0.0542,0.0220,0.2355,2000,124
DeepSeek-R1,Zero-shot (select),Quitting,ACT,Directional Accuracy,0.3710,0.0431,0.2903,0.4597,2000,124
DeepSeek-R1,Zero-shot (select),Quitting,ACT,Directional Macro-F1,0.3565,0.0444,0.2668,0.4452,2000,124
DeepSeek-R1,Zero-shot (select),Quitting,ACT,Spearman_Rho,0.1690,0.3212,-0.4626,0.9665,2000,124
DeepSeek-R1,Zero-shot (select),Content,CBT,Accuracy,0.3733,0.0395,0.3000,0.4467,2000,150
DeepSeek-R1,Zero-shot (select),Content,CBT,F1,0.1850,0.0289,0.1399,0.2568,2000,150
DeepSeek-R1,Zero-shot (select),Content,CBT,Kappa,0.0270,0.0476,-0.0666,0.1180,2000,150
DeepSeek-R1,Zero-shot (select),Content,CBT,QWK,0.0403,0.0684,-0.0906,0.1774,2000,150
DeepSeek-R1,Zero-shot (select),Content,CBT,Directional Accuracy,0.6333,0.0393,0.5533,0.7067,2000,150
DeepSeek-R1,Zero-shot (select),Content,CBT,Directional Macro-F1,0.3448,0.0303,0.2844,0.4012,2000,150
DeepSeek-R1,Zero-shot (select),Content,CBT,Spearman_Rho,0.6936,0.2094,0.2628,1.0000,2000,150
DeepSeek-R1,Zero-shot (select),Coping,CBT,Accuracy,0.2733,0.0372,0.2000,0.3467,2000,150
DeepSeek-R1,Zero-shot (select),Coping,CBT,F1,0.1735,0.0249,0.1249,0.2238,2000,150
DeepSeek-R1,Zero-shot (select),Coping,CBT,Kappa,0.0130,0.0441,-0.0732,0.1027,2000,150
DeepSeek-R1,Zero-shot (select),Coping,CBT,QWK,-0.0102,0.0706,-0.1475,0.1317,2000,150
DeepSeek-R1,Zero-shot (select),Coping,CBT,Directional Accuracy,0.4000,0.0403,0.3200,0.4800,2000,150
DeepSeek-R1,Zero-shot (select),Coping,CBT,Directional Macro-F1,0.3308,0.0366,0.2618,0.4032,2000,150
DeepSeek-R1,Zero-shot (select),Coping,CBT,Spearman_Rho,0.0149,0.2803,-0.6001,0.5000,2000,150
DeepSeek-R1,Zero-shot (select),Quitting,CBT,Accuracy,0.2267,0.0335,0.1667,0.2935,2000,150
DeepSeek-R1,Zero-shot (select),Quitting,CBT,F1,0.1878,0.0322,0.1279,0.2498,2000,150
DeepSeek-R1,Zero-shot (select),Quitting,CBT,Kappa,0.0388,0.0367,-0.0324,0.1106,2000,150
DeepSeek-R1,Zero-shot (select),Quitting,CBT,QWK,0.0643,0.0551,-0.0438,0.1742,2000,150
DeepSeek-R1,Zero-shot (select),Quitting,CBT,Directional Accuracy,0.3400,0.0378,0.2667,0.4135,2000,150
DeepSeek-R1,Zero-shot (select),Quitting,CBT,Directional Macro-F1,0.3278,0.0381,0.2538,0.4039,2000,150
DeepSeek-R1,Zero-shot (select),Quitting,CBT,Spearman_Rho,-0.0488,0.2287,-0.5258,0.3777,2000,150
DeepSeek-R1,Few-shot (select),Content,ACT,Accuracy,0.3226,0.0420,0.2419,0.4032,2000,124
DeepSeek-R1,Few-shot (select),Content,ACT,F1,0.2316,0.0529,0.1366,0.3325,2000,124
DeepSeek-R1,Few-shot (select),Content,ACT,Kappa,0.0263,0.0540,-0.0790,0.1338,2000,124
DeepSeek-R1,Few-shot (select),Content,ACT,QWK,0.0562,0.1120,-0.1668,0.2659,2000,124
DeepSeek-R1,Few-shot (select),Content,ACT,Directional Accuracy,0.6129,0.0435,0.5323,0.7016,2000,124
DeepSeek-R1,Few-shot (select),Content,ACT,Directional Macro-F1,0.3476,0.0457,0.2607,0.4402,2000,124
DeepSeek-R1,Few-shot (select),Content,ACT,Spearman_Rho,0.0625,0.2821,-0.5000,0.6022,2000,124
DeepSeek-R1,Few-shot (select),Coping,ACT,Accuracy,0.2661,0.0396,0.1935,0.3468,2000,124
DeepSeek-R1,Few-shot (select),Coping,ACT,F1,0.1876,0.0350,0.1185,0.2554,2000,124
DeepSeek-R1,Few-shot (select),Coping,ACT,Kappa,-0.0065,0.0477,-0.0964,0.0884,2000,124
DeepSeek-R1,Few-shot (select),Coping,ACT,QWK,-0.0058,0.0937,-0.1870,0.1752,2000,124
DeepSeek-R1,Few-shot (select),Coping,ACT,Directional Accuracy,0.4758,0.0447,0.3871,0.5645,2000,124
DeepSeek-R1,Few-shot (select),Coping,ACT,Directional Macro-F1,0.2724,0.0305,0.2181,0.3345,2000,124
DeepSeek-R1,Few-shot (select),Coping,ACT,Spearman_Rho,-0.0577,0.2949,-0.6000,0.5719,2000,124
DeepSeek-R1,Few-shot (select),Quitting,ACT,Accuracy,0.2581,0.0391,0.1855,0.3308,2000,124
DeepSeek-R1,Few-shot (select),Quitting,ACT,F1,0.2298,0.0423,0.1475,0.3095,2000,124
DeepSeek-R1,Few-shot (select),Quitting,ACT,Kappa,0.0102,0.0502,-0.0842,0.1082,2000,124
DeepSeek-R1,Few-shot (select),Quitting,ACT,QWK,0.0983,0.0937,-0.0847,0.2776,2000,124
DeepSeek-R1,Few-shot (select),Quitting,ACT,Directional Accuracy,0.5645,0.0439,0.4837,0.6532,2000,124
DeepSeek-R1,Few-shot (select),Quitting,ACT,Directional Macro-F1,0.3989,0.0457,0.3094,0.4915,2000,124
DeepSeek-R1,Few-shot (select),Quitting,ACT,Spearman_Rho,0.2244,0.2866,-0.3521,0.7859,2000,124
DeepSeek-R1,Few-shot (select),Content,CBT,Accuracy,0.3800,0.0401,0.3000,0.4600,2000,150
DeepSeek-R1,Few-shot (select),Content,CBT,F1,0.2639,0.0498,0.1699,0.3616,2000,150
DeepSeek-R1,Few-shot (select),Content,CBT,Kappa,0.0851,0.0518,-0.0166,0.1870,2000,150
DeepSeek-R1,Few-shot (select),Content,CBT,QWK,0.1279,0.0964,-0.0650,0.3090,2000,150
DeepSeek-R1,Few-shot (select),Content,CBT,Directional Accuracy,0.6333,0.0397,0.5533,0.7067,2000,150
DeepSeek-R1,Few-shot (select),Content,CBT,Directional Macro-F1,0.3463,0.0423,0.2686,0.4308,2000,150
DeepSeek-R1,Few-shot (select),Content,CBT,Spearman_Rho,0.3736,0.2359,-0.0398,0.9168,2000,150
DeepSeek-R1,Few-shot (select),Coping,CBT,Accuracy,0.3000,0.0382,0.2200,0.3733,2000,150
DeepSeek-R1,Few-shot (select),Coping,CBT,F1,0.2366,0.0364,0.1666,0.3063,2000,150
DeepSeek-R1,Few-shot (select),Coping,CBT,Kappa,0.0602,0.0473,-0.0315,0.1562,2000,150
DeepSeek-R1,Few-shot (select),Coping,CBT,QWK,0.0103,0.0878,-0.1659,0.1797,2000,150
DeepSeek-R1,Few-shot (select),Coping,CBT,Directional Accuracy,0.4600,0.0414,0.3800,0.5400,2000,150
DeepSeek-R1,Few-shot (select),Coping,CBT,Directional Macro-F1,0.3662,0.0411,0.2874,0.4477,2000,150
DeepSeek-R1,Few-shot (select),Coping,CBT,Spearman_Rho,-0.1800,0.2414,-0.6316,0.3373,2000,150
DeepSeek-R1,Few-shot (select),Quitting,CBT,Accuracy,0.3067,0.0379,0.2333,0.3800,2000,150
DeepSeek-R1,Few-shot (select),Quitting,CBT,F1,0.2269,0.0339,0.1613,0.2941,2000,150
DeepSeek-R1,Few-shot (select),Quitting,CBT,Kappa,0.0627,0.0459,-0.0227,0.1508,2000,150
DeepSeek-R1,Few-shot (select),Quitting,CBT,QWK,0.0518,0.0829,-0.1114,0.2088,2000,150
DeepSeek-R1,Few-shot (select),Quitting,CBT,Directional Accuracy,0.5000,0.0399,0.4200,0.5733,2000,150
DeepSeek-R1,Few-shot (select),Quitting,CBT,Directional Macro-F1,0.3501,0.0398,0.2727,0.4273,2000,150
DeepSeek-R1,Few-shot (select),Quitting,CBT,Spearman_Rho,-0.0743,0.2459,-0.5488,0.4396,2000,150
DeepSeek-R1,PP,Content,ACT,Accuracy,0.4797,0.0424,0.3986,0.5608,2000,148
DeepSeek-R1,PP,Content,ACT,F1,0.3309,0.0384,0.2560,0.4054,2000,148
DeepSeek-R1,PP,Content,ACT,Kappa,0.2502,0.0573,0.1357,0.3621,2000,148
DeepSeek-R1,PP,Content,ACT,QWK,0.2120,0.0975,0.0226,0.3965,2000,148
DeepSeek-R1,PP,Content,ACT,Directional Accuracy,0.6689,0.0394,0.5878,0.7432,2000,148
DeepSeek-R1,PP,Content,ACT,Directional Macro-F1,0.4992,0.0561,0.3824,0.6040,2000,148
DeepSeek-R1,PP,Content,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,148
DeepSeek-R1,PP,Coping,ACT,Accuracy,0.3893,0.0403,0.3154,0.4698,2000,149
DeepSeek-R1,PP,Coping,ACT,F1,0.3536,0.0444,0.2609,0.4377,2000,149
DeepSeek-R1,PP,Coping,ACT,Kappa,0.1740,0.0529,0.0716,0.2790,2000,149
DeepSeek-R1,PP,Coping,ACT,QWK,0.3949,0.0811,0.2287,0.5488,2000,149
DeepSeek-R1,PP,Coping,ACT,Directional Accuracy,0.5906,0.0396,0.5101,0.6711,2000,149
DeepSeek-R1,PP,Coping,ACT,Directional Macro-F1,0.4306,0.0395,0.3529,0.5060,2000,149
DeepSeek-R1,PP,Coping,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
DeepSeek-R1,PP,Quitting,ACT,Accuracy,0.4228,0.0405,0.3490,0.5034,2000,149
DeepSeek-R1,PP,Quitting,ACT,F1,0.3774,0.0427,0.2915,0.4586,2000,149
DeepSeek-R1,PP,Quitting,ACT,Kappa,0.2379,0.0509,0.1446,0.3404,2000,149
DeepSeek-R1,PP,Quitting,ACT,QWK,0.4779,0.0730,0.3220,0.6105,2000,149
DeepSeek-R1,PP,Quitting,ACT,Directional Accuracy,0.6443,0.0392,0.5638,0.7181,2000,149
DeepSeek-R1,PP,Quitting,ACT,Directional Macro-F1,0.4875,0.0399,0.4078,0.5669,2000,149
DeepSeek-R1,PP,Quitting,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
DeepSeek-R1,PP,Content,CBT,Accuracy,0.4023,0.0368,0.3333,0.4770,2000,174
DeepSeek-R1,PP,Content,CBT,F1,0.2821,0.0326,0.2178,0.3459,2000,174
DeepSeek-R1,PP,Content,CBT,Kappa,0.1630,0.0475,0.0725,0.2619,2000,174
DeepSeek-R1,PP,Content,CBT,QWK,0.3324,0.0673,0.1887,0.4584,2000,174
DeepSeek-R1,PP,Content,CBT,Directional Accuracy,0.6552,0.0362,0.5805,0.7241,2000,174
DeepSeek-R1,PP,Content,CBT,Directional Macro-F1,0.4792,0.0473,0.3859,0.5720,2000,174
DeepSeek-R1,PP,Content,CBT,Spearman_Rho,,,,,2000,174
DeepSeek-R1,PP,Coping,CBT,Accuracy,0.3851,0.0365,0.3103,0.4540,2000,174
DeepSeek-R1,PP,Coping,CBT,F1,0.3381,0.0404,0.2586,0.4105,2000,174
DeepSeek-R1,PP,Coping,CBT,Kappa,0.1873,0.0463,0.0939,0.2757,2000,174
DeepSeek-R1,PP,Coping,CBT,QWK,0.3802,0.0727,0.2314,0.5174,2000,174
DeepSeek-R1,PP,Coping,CBT,Directional Accuracy,0.6034,0.0375,0.5287,0.6724,2000,174
DeepSeek-R1,PP,Coping,CBT,Directional Macro-F1,0.4851,0.0412,0.4009,0.5620,2000,174
DeepSeek-R1,PP,Coping,CBT,Spearman_Rho,,,,,2000,174
DeepSeek-R1,PP,Quitting,CBT,Accuracy,0.3851,0.0372,0.3161,0.4540,2000,174
DeepSeek-R1,PP,Quitting,CBT,F1,0.3542,0.0429,0.2694,0.4340,2000,174
DeepSeek-R1,PP,Quitting,CBT,Kappa,0.1739,0.0484,0.0799,0.2687,2000,174
DeepSeek-R1,PP,Quitting,CBT,QWK,0.4112,0.0708,0.2670,0.5343,2000,174
DeepSeek-R1,PP,Quitting,CBT,Directional Accuracy,0.6437,0.0363,0.5690,0.7126,2000,174
DeepSeek-R1,PP,Quitting,CBT,Directional Macro-F1,0.5361,0.0426,0.4516,0.6172,2000,174
DeepSeek-R1,PP,Quitting,CBT,Spearman_Rho,,,,,2000,174
DeepSeek-R1,Hybrid RF+PP,Content,ACT,Accuracy,0.3836,0.0406,0.3014,0.4589,2000,146
DeepSeek-R1,Hybrid RF+PP,Content,ACT,F1,0.2557,0.0318,0.1925,0.3169,2000,146
DeepSeek-R1,Hybrid RF+PP,Content,ACT,Kappa,0.1175,0.0541,0.0075,0.2180,2000,146
DeepSeek-R1,Hybrid RF+PP,Content,ACT,QWK,0.2044,0.0773,0.0562,0.3567,2000,146
DeepSeek-R1,Hybrid RF+PP,Content,ACT,Directional Accuracy,0.6438,0.0389,0.5685,0.7192,2000,146
DeepSeek-R1,Hybrid RF+PP,Content,ACT,Directional Macro-F1,0.3949,0.0402,0.3149,0.4721,2000,146
DeepSeek-R1,Hybrid RF+PP,Content,ACT,Spearman_Rho,-1.0000,0.0000,-1.0000,-1.0000,2000,146
DeepSeek-R1,Hybrid RF+PP,Coping,ACT,Accuracy,0.3810,0.0408,0.2993,0.4558,2000,147
DeepSeek-R1,Hybrid RF+PP,Coping,ACT,F1,0.3406,0.0461,0.2489,0.4253,2000,147
DeepSeek-R1,Hybrid RF+PP,Coping,ACT,Kappa,0.1532,0.0547,0.0476,0.2595,2000,147
DeepSeek-R1,Hybrid RF+PP,Coping,ACT,QWK,0.3311,0.0851,0.1618,0.4903,2000,147
DeepSeek-R1,Hybrid RF+PP,Coping,ACT,Directional Accuracy,0.6327,0.0395,0.5510,0.7075,2000,147
DeepSeek-R1,Hybrid RF+PP,Coping,ACT,Directional Macro-F1,0.4796,0.0456,0.3906,0.5652,2000,147
DeepSeek-R1,Hybrid RF+PP,Coping,ACT,Spearman_Rho,,,,,2000,147
DeepSeek-R1,Hybrid RF+PP,Quitting,ACT,Accuracy,0.4830,0.0418,0.4014,0.5646,2000,147
DeepSeek-R1,Hybrid RF+PP,Quitting,ACT,F1,0.4415,0.0465,0.3445,0.5290,2000,147
DeepSeek-R1,Hybrid RF+PP,Quitting,ACT,Kappa,0.3167,0.0513,0.2148,0.4138,2000,147
DeepSeek-R1,Hybrid RF+PP,Quitting,ACT,QWK,0.5082,0.0722,0.3631,0.6437,2000,147
DeepSeek-R1,Hybrid RF+PP,Quitting,ACT,Directional Accuracy,0.7007,0.0379,0.6259,0.7755,2000,147
DeepSeek-R1,Hybrid RF+PP,Quitting,ACT,Directional Macro-F1,0.5597,0.0467,0.4673,0.6477,2000,147
DeepSeek-R1,Hybrid RF+PP,Quitting,ACT,Spearman_Rho,,,,,2000,147
DeepSeek-R1,Hybrid RF+PP,Content,CBT,Accuracy,0.3023,0.0346,0.2384,0.3663,2000,172
DeepSeek-R1,Hybrid RF+PP,Content,CBT,F1,0.2034,0.0262,0.1535,0.2568,2000,172
DeepSeek-R1,Hybrid RF+PP,Content,CBT,Kappa,0.0459,0.0429,-0.0370,0.1309,2000,172
DeepSeek-R1,Hybrid RF+PP,Content,CBT,QWK,0.2897,0.0677,0.1495,0.4168,2000,172
DeepSeek-R1,Hybrid RF+PP,Content,CBT,Directional Accuracy,0.5407,0.0372,0.4709,0.6105,2000,172
DeepSeek-R1,Hybrid RF+PP,Content,CBT,Directional Macro-F1,0.3863,0.0410,0.3067,0.4653,2000,172
DeepSeek-R1,Hybrid RF+PP,Content,CBT,Spearman_Rho,,,,,2000,172
DeepSeek-R1,Hybrid RF+PP,Coping,CBT,Accuracy,0.3663,0.0367,0.2965,0.4360,2000,172
DeepSeek-R1,Hybrid RF+PP,Coping,CBT,F1,0.3414,0.0398,0.2586,0.4118,2000,172
DeepSeek-R1,Hybrid RF+PP,Coping,CBT,Kappa,0.1786,0.0457,0.0864,0.2648,2000,172
DeepSeek-R1,Hybrid RF+PP,Coping,CBT,QWK,0.3108,0.0730,0.1618,0.4465,2000,172
DeepSeek-R1,Hybrid RF+PP,Coping,CBT,Directional Accuracy,0.5407,0.0382,0.4651,0.6163,2000,172
DeepSeek-R1,Hybrid RF+PP,Coping,CBT,Directional Macro-F1,0.4576,0.0409,0.3750,0.5354,2000,172
DeepSeek-R1,Hybrid RF+PP,Coping,CBT,Spearman_Rho,,,,,2000,172
