Domain,Series,Baseline,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho
Content,Best baseline LR,Demographics + History + Message Embedding (LR),0.4966,0.2940,0.2378,0.4088,0.7550,0.4352,
Content,Best baseline RF,Demographics (RF),0.5034,0.3777,0.2806,0.3562,0.7114,0.4866,
Coping,Best baseline LR,Demographics + History + Message Embedding (LR),0.4497,0.3422,0.2194,0.3998,0.6644,0.4625,-1.0000
Coping,Best baseline RF,Embedding + Demo (RF),0.4564,0.3867,0.2590,0.4407,0.6879,0.5259,1.0000
Quitting,Best baseline LR,Embedding (LR),0.5000,0.3742,0.2979,0.4898,0.7483,0.5904,1.0000
Quitting,Best baseline RF,Demographics + History + Message Embedding (RF),0.5403,0.4525,0.3575,0.5437,0.7483,0.5988,-1.0000
