Model,Method,Domain,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Kendall_Tau,Spearman_Rho,N
Grok-4-Fast,Zero-shot (select),Coping,0.3000,0.1664,0.0131,0.0386,0.5074,0.3420,0.0696,0.1623,270
Grok-4-Fast,Few-shot (all),Coping,0.2852,0.2114,0.0089,0.0456,0.4852,0.3447,0.0007,-0.1434,270
Grok-4-Fast,Few-shot (select),Coping,0.2778,0.2202,0.0244,0.1377,0.5074,0.3903,0.1143,-0.0673,270
Grok-4-Fast,Zero-shot (w/ prob),Coping,0.3074,0.1635,0.0105,0.1007,0.5519,0.3486,0.1394,0.0656,270
Gemini-2.5-Pro,Zero-shot (all),Coping,0.3407,0.2182,0.0676,0.0214,0.5630,0.3525,0.0218,-0.0806,270
Gemini-2.5-Pro,Zero-shot (select),Coping,0.3296,0.2091,0.0522,0.0527,0.5481,0.3517,0.0636,0.0658,270
Gemini-2.5-Pro,Few-shot (all),Coping,0.2852,0.2284,0.0324,0.0806,0.4926,0.3449,0.0574,-0.0107,270
Gemini-2.5-Pro,Few-shot (select),Coping,0.2667,0.2282,0.0288,0.0528,0.4296,0.3367,0.0251,-0.0248,270
Gemini-2.5-Pro,Zero-shot (w/ prob),Coping,0.3074,0.1779,0.0220,0.0465,0.5370,0.3688,0.0019,-0.0233,270
GPT-4o-mini,Zero-shot (all),Quitting,0.2556,0.1314,-0.0172,0.0269,0.4963,0.3067,0.0244,-0.1094,270
GPT-4o-mini,Zero-shot (select),Quitting,0.2852,0.2041,0.0219,0.0413,0.5074,0.3400,0.0413,-0.0689,270
GPT-4o-mini,Few-shot (all),Quitting,0.2926,0.2196,0.0579,0.1421,0.5148,0.3680,0.1080,0.0023,270
GPT-4o-mini,Few-shot (select),Quitting,0.3296,0.2379,0.0935,0.1465,0.5259,0.3537,0.1287,-0.0588,270
GPT-4o-mini,Zero-shot (w/ prob),Quitting,0.2741,0.1954,0.0422,0.1096,0.5222,0.3767,0.0973,-0.1431,270
GPT-5,Zero-shot (all),Quitting,0.1963,0.1246,0.0304,0.0238,0.2704,0.2690,0.0309,0.0712,270
GPT-5,Zero-shot (select),Quitting,0.2037,0.1608,0.0277,0.0078,0.2889,0.2891,0.0293,-0.0417,270
GPT-5,Few-shot (all),Quitting,0.2222,0.1942,0.0247,0.0584,0.3333,0.3178,0.0390,-0.0772,270
GPT-5,Few-shot (select),Quitting,0.2148,0.1924,0.0280,0.0774,0.3444,0.3259,0.0753,-0.0479,270
GPT-5,Zero-shot (w/ prob),Quitting,0.1741,0.1381,0.0068,0.0228,0.2296,0.2322,0.0620,-0.1015,270
DeepSeek-R1,Zero-shot (all),Quitting,0.1630,0.1302,0.0261,0.0173,0.2556,0.2617,0.0200,-0.0737,270
DeepSeek-R1,Zero-shot (select),Quitting,0.2407,0.1934,0.0546,0.0879,0.3519,0.3363,0.0988,-0.0080,270
DeepSeek-R1,Few-shot (all),Quitting,0.2593,0.2182,0.0326,0.0522,0.4667,0.3710,0.0222,-0.0141,270
DeepSeek-R1,Few-shot (select),Quitting,0.2815,0.2276,0.0344,0.0755,0.5296,0.3753,0.0616,0.0531,270
DeepSeek-R1,Zero-shot (w/ prob),Quitting,0.2148,0.1944,0.0469,0.0473,0.2926,0.2916,0.0529,-0.0080,270
Grok-4-Fast,Zero-shot (all),Quitting,0.2778,0.1984,0.0489,0.0844,0.4556,0.3690,0.0605,-0.0366,270
Grok-4-Fast,Zero-shot (select),Quitting,0.2889,0.2289,0.0497,0.1377,0.4852,0.3807,0.1240,0.0293,270
Grok-4-Fast,Few-shot (all),Quitting,0.3148,0.2638,0.0644,0.1492,0.5815,0.4064,0.1064,0.1276,270
Grok-4-Fast,Few-shot (select),Quitting,0.3111,0.2697,0.0780,0.1950,0.5481,0.3976,0.1585,-0.0120,270
Grok-4-Fast,Zero-shot (w/ prob),Quitting,0.2593,0.1778,0.0110,0.1802,0.5185,0.4091,0.1720,0.0699,270
Gemini-2.5-Pro,Zero-shot (all),Quitting,0.3185,0.2386,0.0566,0.0573,0.5963,0.3998,0.0373,0.0491,270
Gemini-2.5-Pro,Zero-shot (select),Quitting,0.2815,0.2097,0.0178,0.1025,0.5370,0.3719,0.0792,0.0967,270
Gemini-2.5-Pro,Few-shot (all),Quitting,0.2889,0.2360,0.0304,0.1454,0.5333,0.3517,0.1057,0.0874,270
Gemini-2.5-Pro,Few-shot (select),Quitting,0.2852,0.2482,0.0453,0.1545,0.5259,0.3985,0.0967,-0.0172,270
Gemini-2.5-Pro,Zero-shot (w/ prob),Quitting,0.2556,0.1564,-0.0097,0.0643,0.5222,0.3698,0.0407,0.0533,270
