k_train,method_group,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
3,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,content,628,0.5127388535031847,0.3324732152863032,0.2752015026420701,0.4558470388270235,0.7468152866242038,0.506627193746251,0.16666666666666663,628
3,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,coping,628,0.44904458598726116,0.4002346614332035,0.240201272112483,0.47669663086776215,0.6751592356687898,0.5335388686644317,0.04978047392076113,628
3,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,quitting,628,0.4681528662420382,0.419474226256835,0.2755681425709746,0.5385012128274682,0.6878980891719745,0.5567455972260243,-0.0038675134594813015,628
5,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,content,439,0.5444191343963554,0.3492300449428954,0.3214470643697882,0.4366814159292036,0.7722095671981777,0.5225973046639553,0.26,439
5,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,coping,439,0.4510250569476082,0.3946227522642244,0.2305191499265422,0.4816537560155285,0.6810933940774487,0.5263204825155413,0.04372238594590076,439
5,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,quitting,439,0.44646924829157175,0.3914891244448766,0.24572580074948736,0.5318520944499472,0.6879271070615034,0.5391680363051252,0.11538461538461536,439
7,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,content,265,0.4981132075471698,0.3686735174599257,0.2604289071680377,0.46491554947007185,0.7396226415094339,0.5875896617041594,0.4832531754730548,265
7,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,coping,265,0.5094339622641509,0.46227762746352347,0.3217836401220593,0.5250896057347669,0.7056603773584905,0.5833656645966692,0.03571428571428569,265
7,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,quitting,265,0.4867924528301887,0.462105158334138,0.3028069564544522,0.5521598357419253,0.7320754716981132,0.6219134273582938,0.7857142857142856,265
0,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,content,318,0.44025157232704404,0.30773403571825375,0.2045419412864149,0.278350626079679,0.660377358490566,0.4892956352114006,0.3333333333333333,318
