Category,Method,Model,Domain,Accuracy,Acc±1,Cohen's κ,Kendall's τ,Spearman's ρ,F1 (macro),Precision (macro),Recall (macro),N
2.2.4 Digital Twin,4. CBT/ACT (10/90),gpt-4o-mini,Content,0.4021857923497268,0.907103825136612,0.11332340076496139,0.25642212675320497,0.03754022260688018,0.22029425467840125,0.28387715618451537,0.25244119613800875,915
2.2.4 Digital Twin,4. CBT/ACT (10/90),gpt-4o-mini,Coping,0.31986899563318777,0.7893013100436681,0.0908963464951269,0.3053331604597578,-0.018060413607693667,0.19982242884306198,0.37585560807907176,0.2587716976232787,916
2.2.4 Digital Twin,4. CBT/ACT (10/90),gpt-4o-mini,Quitting,0.3133187772925764,0.8034934497816594,0.08701618500407249,0.29150250314168336,0.04228214848216597,0.2116945518674241,0.41950298639148775,0.26856324662960007,916
2.2.4 Digital Twin,4. CBT/ACT (30/70),gpt-4o-mini,Content,0.4053751399776036,0.9059350503919373,0.12080876626988535,0.2638492619651583,-0.0015567652595764446,0.2218121433914686,0.29230539247662535,0.25581943981943983,893
2.2.4 Digital Twin,4. CBT/ACT (30/70),gpt-4o-mini,Coping,0.31767337807606266,0.7863534675615212,0.08803885040786896,0.28652865692089496,-0.09756276462275455,0.1897176373302903,0.33330369794394443,0.2524656045352197,894
2.2.4 Digital Twin,4. CBT/ACT (30/70),gpt-4o-mini,Quitting,0.29642058165548096,0.8031319910514542,0.07023586114532787,0.29147097839943065,-0.014000577358737236,0.20183639319020555,0.4019385623462222,0.2542714468629962,894
2.2.4 Digital Twin,4. CBT/ACT (70/30),gpt-4o-mini,Content,0.39751552795031053,0.9006211180124224,0.08881660516066925,0.25369234294903903,-0.9999999999999999,0.21871068921911324,0.2516043114755561,0.2471635610766046,322
2.2.4 Digital Twin,4. CBT/ACT (70/30),gpt-4o-mini,Coping,0.3157894736842105,0.7863777089783281,0.09506604802109486,0.2976887533266147,0.19999999999999998,0.19336572815878736,0.3371875475025081,0.2632352538588096,323
2.2.4 Digital Twin,4. CBT/ACT (70/30),gpt-4o-mini,Quitting,0.32507739938080493,0.804953560371517,0.09900065258282043,0.30047880808468225,-0.9999999999999999,0.20245180989401482,0.36006620324395894,0.2711354329448155,323
2.2.4 Digital Twin,4. CBT/ACT (90/10),gpt-4o-mini,Content,0.41,0.9166666666666666,0.11322645290581157,0.31098928633050804,,0.22882159585658926,0.27684848484848484,0.2591505499866241,300
2.2.4 Digital Twin,4. CBT/ACT (90/10),gpt-4o-mini,Coping,0.31893687707641194,0.7774086378737541,0.10068062903531405,0.2869640779822867,,0.20285683002151594,0.34945111929069145,0.2698275862068965,301
2.2.4 Digital Twin,4. CBT/ACT (90/10),gpt-4o-mini,Quitting,0.3222591362126246,0.8106312292358804,0.095856524427953,0.30233703952708674,,0.22129548476077754,0.3838493631971893,0.28303726191549694,301
