k_train,feature_set,domain,method,method_display,N,Accuracy,F1,Kappa,QWK,Spearman_Rho
7,Demo+History,Content,Supervised RF,Supervised RF,898,0.49888641425389757,0.34891556713952543,0.2860953780814851,0.4748150063408809,
7,Demo+History,Content,LLM-PP (Grok-4-Fast),LLM-PP,898,0.49888641425389757,0.33663789420826873,0.26902330225642246,0.4021271686584549,0.05567118597139857
7,Demo+History,Coping,Supervised RF,Supervised RF,898,0.4198218262806236,0.37076955754486063,0.22890887155787898,0.5535783295383414,
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,898,0.4309576837416481,0.3667492103926846,0.2276926442991426,0.5025694083268669,0.037328681197605115
7,Demo+History,Quitting,Supervised RF,Supervised RF,898,0.4198218262806236,0.3854601555797635,0.2314106744775538,0.6171103401316429,
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,898,0.45657015590200445,0.40622798524406384,0.26510091312331774,0.5588707169731756,0.0810103396231394
