,,,Accuracy,Accuracy,Acc±1,Acc±1,Kappa,Kappa
,,,mean,std,mean,std,mean,std
Model,Method,Domain,,,,,,
Gemini-2.5-Pro,Zero-shot (all),Quitting,0.31386861313868614,,0.7700729927007299,,0.05085495283018859,
Gemini-2.5-Pro,Zero-shot (select),Content,0.3795620437956204,,0.8029197080291971,,0.06986960602248438,
Gemini-2.5-Pro,Zero-shot (select),Coping,0.33211678832116787,,0.781021897810219,,0.050340909090908936,
Gemini-2.5-Pro,Zero-shot (select),Quitting,0.2846715328467153,,0.7773722627737226,,0.022105684839214934,
Grok-4-Fast,Continuous (NL),Content,0.34306569343065696,,0.8941605839416058,,-0.016739506885462108,
Grok-4-Fast,Continuous (NL),Coping,0.31386861313868614,,0.8248175182481752,,0.013614690845029864,
Grok-4-Fast,Continuous (NL),Quitting,0.2591240875912409,,0.7846715328467153,,0.010425562197552085,
Grok-4-Fast,Digital Twin (70/30),Content,0.4813664596273292,,0.8757763975155279,,0.22995188452285487,
Grok-4-Fast,Digital Twin (70/30),Coping,0.43653250773993807,,0.8390092879256966,,0.22645928733091214,
Grok-4-Fast,Digital Twin (70/30),Quitting,0.43653250773993807,,0.8513931888544891,,0.23153546497947664,
Grok-4-Fast,Few-shot (all),Content,0.31386861313868614,,0.781021897810219,,-0.01913146700959545,
Grok-4-Fast,Few-shot (all),Coping,0.291970802919708,,0.7335766423357665,,0.012960968544583507,
Grok-4-Fast,Few-shot (all),Quitting,0.3175182481751825,,0.7335766423357665,,0.06816280507765615,
Grok-4-Fast,Few-shot (select),Content,0.3248175182481752,,0.7956204379562044,,0.028443285927856832,
Grok-4-Fast,Few-shot (select),Coping,0.2846715328467153,,0.7481751824817519,,0.028983672952790807,
Grok-4-Fast,Few-shot (select),Quitting,0.31386861313868614,,0.7226277372262774,,0.08127485776454013,
Grok-4-Fast,Zero-shot (all),Content,0.3686131386861314,,0.8321167883211679,,0.030098418349600142,
Grok-4-Fast,Zero-shot (all),Coping,0.32116788321167883,,0.7846715328467153,,0.03343637984334391,
Grok-4-Fast,Zero-shot (all),Quitting,0.28102189781021897,,0.7007299270072993,,0.053017543859649074,
Grok-4-Fast,Zero-shot (select),Content,0.3613138686131387,,0.8248175182481752,,0.02621798907414541,
Grok-4-Fast,Zero-shot (select),Coping,0.30656934306569344,,0.7883211678832117,,0.017049638426826386,
Grok-4-Fast,Zero-shot (select),Quitting,0.28832116788321166,,0.7153284671532847,,0.04915290432801833,
