Model,Method,Combination,Domain,accuracy,directional_accuracy,kappa,spearman_rho,macro_f1
GPT-5,Digital Twin (70/30),"GPT-5
Digital Twin (70/30)",Content,0.453416149068323,0.8726708074534162,0.20831470719713907,0.14285714285714285,0.4518843415060006
GPT-5,Digital Twin (70/30),"GPT-5
Digital Twin (70/30)",Coping,0.37770897832817335,0.8235294117647058,0.1651922335090652,0.19999999999999998,0.5140182555451064
GPT-5,Digital Twin (70/30),"GPT-5
Digital Twin (70/30)",Quitting,0.4055727554179567,0.8452012383900929,0.210118069619044,0.49999999999999994,0.5226944661799917
GPT-5,Hybrid RF+DT (70/30),"GPT-5
Hybrid RF+DT",Content,0.4720496894409938,0.8757763975155279,0.24241585473870675,0.0,0.5492753623188406
GPT-5,Hybrid RF+DT (70/30),"GPT-5
Hybrid RF+DT",Coping,0.42724458204334365,0.8142414860681114,0.23686495874945723,0.9999999999999999,0.5253970543918031
GPT-5,Hybrid RF+DT (70/30),"GPT-5
Hybrid RF+DT",Quitting,0.4458204334365325,0.8297213622291022,0.2699873737373737,-0.9999999999999999,0.5525704873433839
DeepSeek-R1,Zero-shot (all),"DeepSeek-R1
Zero-shot (all)",Content,0.3357664233576642,0.8832116788321168,0.005682611209698152,0.17099195182096477,0.352845182347098
DeepSeek-R1,Zero-shot (all),"DeepSeek-R1
Zero-shot (all)",Coping,0.24452554744525548,0.6751824817518248,0.01695091514143099,-0.06672123640847072,0.3223881097257721
DeepSeek-R1,Zero-shot (all),"DeepSeek-R1
Zero-shot (all)",Quitting,0.16058394160583941,0.4781021897810219,0.024820500123793,-0.06255339903331861,0.2612692025166874
DeepSeek-R1,Zero-shot (select),"DeepSeek-R1
Zero-shot (select)",Content,0.3686131386861314,0.864963503649635,0.038927861806090425,0.04946289240330253,0.31851851851851853
DeepSeek-R1,Zero-shot (select),"DeepSeek-R1
Zero-shot (select)",Coping,0.2846715328467153,0.7737226277372263,0.01124919451348616,0.08120675244102284,0.3435382273738438
DeepSeek-R1,Zero-shot (select),"DeepSeek-R1
Zero-shot (select)",Quitting,0.24087591240875914,0.6021897810218978,0.0543572044866264,-0.011371809106267056,0.3379702225390037
DeepSeek-R1,Few-shot (all),"DeepSeek-R1
Few-shot (all)",Content,0.3686131386861314,0.8248175182481752,0.07564205066203844,0.04581997368995358,0.4151134258324698
DeepSeek-R1,Few-shot (all),"DeepSeek-R1
Few-shot (all)",Coping,0.26277372262773724,0.6970802919708029,0.020372041983043987,-0.060541815893372555,0.35878570749800404
