Model,Model_ID,Method,Category,Domain,Accuracy,Directional Accuracy,Directional Macro-F1,Kappa,QWK,F1,Kendall_Tau,Spearman_Rho,N,Split,Source_File,Feature_Set,Classifier
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Coping,0.24104234527687296,0.3941368078175896,0.33216342472671584,0.0038020166007464162,0.07784239790375147,0.16141254298026536,0.07894216516352333,-0.9999999999999999,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_1_zero_shot_dt7030.json,,
GPT-5,gpt-5,Zero-shot (all),Generic LLM,Quitting,0.14332247557003258,0.19543973941368079,0.20352968851619688,-0.0018612500155104073,0.04488054723427959,0.10113562102853395,0.08125755821338443,,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_1_zero_shot_dt7030.json,,
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Content,0.3888888888888889,0.7124183006535948,0.3250477679346882,0.056085249579360674,0.09670535088402521,0.18392854708644182,0.11796452255462458,,306,digital_twin_7030,results_manuscript_gpt-5/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Coping,0.2964169381107492,0.46905537459283386,0.38061910269864696,0.06913542119965743,0.08976965697907024,0.17572066532059166,0.1158924570524658,0.0,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-5,gpt-5,Zero-shot (select),Generic LLM,Quitting,0.16938110749185667,0.2671009771986971,0.26622174432145046,0.00398228962569025,0.08083506655942518,0.1422141066953097,0.1193907229121311,,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_2_zero_shot_select_dt7030.json,,
GPT-5,gpt-5,Few-shot (all),Generic LLM,Content,0.4019607843137255,0.6797385620915033,0.37854077688102583,0.10288369112463946,0.14102595950813546,0.24445133675471703,0.1328198475647038,,306,digital_twin_7030,results_manuscript_gpt-5/generic_llm_3_few_shot_dt7030.json,,
GPT-5,gpt-5,Few-shot (all),Generic LLM,Coping,0.24104234527687296,0.38762214983713356,0.34325252900127645,0.018886816261589945,0.08154102460990509,0.1961739698965616,0.07288574804087757,0.9999999999999999,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_3_few_shot_dt7030.json,,
GPT-5,gpt-5,Few-shot (all),Generic LLM,Quitting,0.21172638436482086,0.36482084690553745,0.3274913488762277,0.017898688663282702,0.10129619290489067,0.17202661020179594,0.10669395709073602,0.9999999999999999,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_3_few_shot_dt7030.json,,
GPT-5,gpt-5,Few-shot (select),Generic LLM,Content,0.3464052287581699,0.6372549019607843,0.3627288207747978,0.037160567634750286,0.11547938125743684,0.21513748083404968,0.09372962290734997,,306,digital_twin_7030,results_manuscript_gpt-5/generic_llm_4_few_shot_select_dt7030.json,,
GPT-5,gpt-5,Few-shot (select),Generic LLM,Coping,0.26058631921824105,0.4234527687296417,0.3756227529532614,0.045460771422309865,0.0829685327290518,0.2090155688532655,0.0778056342888321,0.9999999999999999,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_4_few_shot_select_dt7030.json,,
