Model,Method,Domain,N,Split,Source_File,Bootstrap_N,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Accuracy_SE
Gemini-2.5-Pro,Few-shot (all),Coping,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.24104234527687296,0.19543973941368079,0.2867263843648204,0.023832065897410236
GPT-4o-mini,PP,Coping,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.31921824104234525,0.2671009771986971,0.3713355048859935,0.02685432614175458
GPT-5,PP,Coping,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.3713355048859935,0.31921824104234525,0.42671009771986973,0.02711712659759869
DeepSeek-R1,PP,Coping,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.38762214983713356,0.3322475570032573,0.43982084690553697,0.027344928801270752
Grok-4-Fast,PP,Coping,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.44625407166123776,0.38762214983713356,0.501628664495114,0.029243230273483817
Gemini-2.5-Pro,PP,Coping,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.43322475570032576,0.3745928338762215,0.48859934853420195,0.028839585635694547
GPT-4o-mini,Hybrid RF+PP,Coping,307,digital_twin_7030_cleaned,hybrid,2000,0.3517915309446254,0.2964169381107492,0.40716612377850164,0.027705956819740654
GPT-5,Hybrid RF+PP,Coping,307,digital_twin_7030_cleaned,hybrid,2000,0.42671009771986973,0.3712540716612378,0.4820846905537459,0.028478903919680658
DeepSeek-R1,Hybrid RF+PP,Coping,303,digital_twin_7030_cleaned,hybrid,2000,0.37623762376237624,0.3201320132013201,0.42912541254125364,0.028107720337238414
Grok-4-Fast,Hybrid RF+PP,Coping,307,digital_twin_7030_cleaned,hybrid,2000,0.4201954397394137,0.36482084690553745,0.4755700325732899,0.028609950794842354
Gemini-2.5-Pro,Hybrid RF+PP,Coping,307,digital_twin_7030_cleaned,hybrid,2000,0.40390879478827363,0.3517100977198697,0.4592833876221498,0.027768167788224628
GPT-4o-mini,Zero-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.30944625407166126,0.26050488599348537,0.36156351791530944,0.026598702357420224
GPT-5,Zero-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.14332247557003258,0.10423452768729642,0.18241042345276873,0.02003011461254601
DeepSeek-R1,Zero-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.13680781758957655,0.10097719869706841,0.1758957654723127,0.019532666905216493
Grok-4-Fast,Zero-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.28338762214983715,0.23452768729641693,0.3355048859934853,0.026156100205220717
Gemini-2.5-Pro,Zero-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_1_zero_shot_dt7030.json,2000,0.2996742671009772,0.250814332247557,0.3517915309446254,0.026207900130478416
GPT-4o-mini,Few-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.2736156351791531,0.2247557003257329,0.32247557003257327,0.025037956748423427
GPT-5,Few-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.21172638436482086,0.16938110749185667,0.25415309446254025,0.022995898269061607
DeepSeek-R1,Few-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.28664495114006516,0.23778501628664495,0.33876221498371334,0.02607177600914089
Grok-4-Fast,Few-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.3550488599348534,0.30293159609120524,0.41368078175895767,0.027759792839561204
Gemini-2.5-Pro,Few-shot (all),Quitting,307,digital_twin_7030_cleaned,generic_llm_3_few_shot_dt7030.json,2000,0.30944625407166126,0.26058631921824105,0.36156351791530944,0.026126015374053603
GPT-4o-mini,PP,Quitting,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.3257328990228013,0.2768729641693811,0.3811074918566775,0.026715112070894973
GPT-5,PP,Quitting,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.40716612377850164,0.3517915309446254,0.46254071661237783,0.027571269218644456
DeepSeek-R1,PP,Quitting,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.4006514657980456,0.34527687296416937,0.452850162866449,0.027163715363955607
Grok-4-Fast,PP,Quitting,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.43973941368078173,0.38436482084690554,0.495114006514658,0.02883201928838445
Gemini-2.5-Pro,PP,Quitting,307,digital_twin_7030_cleaned,digital_twin_4_cbtact_7030.json,2000,0.4495114006514658,0.3941368078175896,0.504885993485342,0.02827001519546557
GPT-4o-mini,Hybrid RF+PP,Quitting,307,digital_twin_7030_cleaned,hybrid,2000,0.38762214983713356,0.3355048859934853,0.44299674267100975,0.028234299631093914
GPT-5,Hybrid RF+PP,Quitting,307,digital_twin_7030_cleaned,hybrid,2000,0.44625407166123776,0.3941368078175896,0.504885993485342,0.028276279173242727
DeepSeek-R1,Hybrid RF+PP,Quitting,303,digital_twin_7030_cleaned,hybrid,2000,0.41254125412541254,0.35973597359735976,0.46864686468646866,0.02785811226050318
Grok-4-Fast,Hybrid RF+PP,Quitting,307,digital_twin_7030_cleaned,hybrid,2000,0.49185667752442996,0.43973941368078173,0.5472312703583062,0.028235483939677102
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,307,digital_twin_7030_cleaned,hybrid,2000,0.4364820846905538,0.38436482084690554,0.48859934853420195,0.027752145825570052
