model,model_color,condition_key,condition,domain,metric,estimate,ci_low,ci_high,bootstrap_replicates,resampling_unit,n_participants,n_test_messages,seed
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Content,accuracy,0.34075723830734966,0.30759984903065724,0.37486790107148277,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Content,macro_f1,0.1619928550299224,0.1439250342621512,0.18004626317366418,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Content,qwk,0.08510696546599394,0.026853236359534752,0.1430708931908837,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Content,directional_accuracy,0.6191536748329621,0.580816001544178,0.6596223877725681,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Content,directional_macro_f1,0.3159033024572786,0.29281669146030337,0.3385436090814358,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Coping,accuracy,0.25501113585746105,0.22493806530889307,0.28587319243604004,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Coping,macro_f1,0.15408669904360467,0.13522042964078493,0.17403406445587785,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Coping,qwk,0.05101514918753358,0.0030931738813119508,0.09723243505910384,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Coping,directional_accuracy,0.38641425389755013,0.3541899441340782,0.42028985507246375,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Coping,directional_macro_f1,0.29850832896689594,0.2717114322267021,0.3268578105320849,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Quitting,accuracy,0.2750556792873051,0.24441964285714285,0.30580357142857145,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Quitting,macro_f1,0.1784403596538692,0.1562205770007074,0.20014222602758103,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Quitting,qwk,0.12382797161273029,0.07091841599285385,0.17315634947870326,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Quitting,directional_accuracy,0.44988864142538976,0.4165710412837287,0.4860030216394427,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_ratings_only,History + ratings only,Quitting,directional_macro_f1,0.3620865890215736,0.32913628715418086,0.3948197599786694,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Content,accuracy,0.3262806236080178,0.29161896592302644,0.3619153674832962,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Content,macro_f1,0.11965189259139437,0.10583966485200144,0.1341172872071641,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Content,qwk,0.007252984874098978,-0.029468413365740447,0.044469160724946534,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Content,directional_accuracy,0.6425389755011136,0.6031104425465839,0.6822235228539576,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Content,directional_macro_f1,0.29531358149742554,0.27460515843037475,0.3174621392065769,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Coping,accuracy,0.21937639198218262,0.19243604004449388,0.24776810515873016,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Coping,macro_f1,0.13050430099746305,0.11369410870864549,0.14875160930826542,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Coping,qwk,0.031359020455760334,-0.00629222258219701,0.06935851933844792,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Coping,directional_accuracy,0.3051224944320713,0.2759747640146407,0.3359288097886541,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Coping,directional_macro_f1,0.25169434669367363,0.22603099397807974,0.27888137634170623,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Quitting,accuracy,0.22494432071269488,0.1982180134029335,0.2541625061711439,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Quitting,macro_f1,0.1477399976971257,0.12860323339493743,0.16827867971068183,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Quitting,qwk,0.0506972786630594,0.0030989917468943256,0.10038757394766908,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Quitting,directional_accuracy,0.34075723830734966,0.31103001495922405,0.3715342585550388,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,history_text_only,History text only,Quitting,directional_macro_f1,0.3022688761271076,0.27177937877567654,0.3319841320069106,2000,participant,301,898,20260919
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Content,accuracy,0.45657015590200445,0.41899177529484793,0.4949613680540211,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Content,macro_f1,0.3351598747450856,0.2903031526972469,0.3804840485112757,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Content,qwk,0.3875714048184691,0.3095890562566008,0.4593769596229711,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Content,directional_accuracy,0.6692650334075724,0.6316890958081451,0.7077777777777777,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Content,directional_macro_f1,0.486114107237454,0.4345068814332563,0.5361919723679226,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Coping,accuracy,0.3975501113585746,0.3592880978865406,0.43638392857142855,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Coping,macro_f1,0.3593941060654567,0.3161447335753056,0.4012649746528377,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Coping,qwk,0.4891458456003376,0.4231206474776346,0.5524703792219214,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Coping,directional_accuracy,0.6224944320712695,0.585470095850227,0.6611111111111111,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Coping,directional_macro_f1,0.5331212603196244,0.4944661731299167,0.5709323457040731,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Quitting,accuracy,0.4265033407572383,0.3930898027362393,0.4638487208008899,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Quitting,macro_f1,0.40347309574779705,0.36126393206596286,0.44345234724438853,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Quitting,qwk,0.5343191323628418,0.47179010169531593,0.5914444318219836,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Quitting,directional_accuracy,0.6636971046770601,0.6269454467407398,0.7018969067285163,2000,participant,301,898,20261928
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,Quitting,directional_macro_f1,0.5780304137510823,0.5393587845355722,0.6157623881581934,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,accuracy,0.4376391982182628,0.3991026570048309,0.47491638795986624,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,macro_f1,0.3244507219281386,0.2837270744089862,0.3625467719114567,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,qwk,0.3554205809751595,0.2770774274414864,0.42930916651212786,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_accuracy,0.6481069042316259,0.6127214491338988,0.6840934371523916,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_macro_f1,0.48570736456931307,0.4346453709446559,0.532923545743658,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,accuracy,0.3596881959910913,0.3243674925905742,0.399108138238573,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,macro_f1,0.3330955014074919,0.29039618322207517,0.3758714722479955,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,qwk,0.4338530245610607,0.3602600530904153,0.5030842894807039,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_accuracy,0.5645879732739421,0.5257242044214586,0.6048951555128266,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_macro_f1,0.4759020593154574,0.43647599330157383,0.5139414445326376,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,accuracy,0.40979955456570155,0.3735984227813816,0.44866357282055364,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,macro_f1,0.3866599871777025,0.3433442981602605,0.42680575536198667,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,qwk,0.4907972595246196,0.4250379064385009,0.554223412943447,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,directional_accuracy,0.6302895322939867,0.592875824538055,0.6666759465478841,2000,participant,301,898,20261928
GPT-5,#DE8F05,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,directional_macro_f1,0.547868762313276,0.5093347850578326,0.5868364102162545,2000,participant,301,898,20261928
GPT-5,#DE8F05,history_ratings_only,History + ratings only,Content,accuracy,0.4465478841870824,0.41176141597578625,0.48164627363737483,2000,participant,301,898,20261928
GPT-5,#DE8F05,history_ratings_only,History + ratings only,Content,macro_f1,0.3473926086222753,0.30045783718079666,0.3964322857160332,2000,participant,301,898,20261928
GPT-5,#DE8F05,history_ratings_only,History + ratings only,Content,qwk,0.3716173991587153,0.29049791310706985,0.44390755140921623,2000,participant,301,898,20261928
GPT-5,#DE8F05,history_ratings_only,History + ratings only,Content,directional_accuracy,0.6536748329621381,0.6176101546542164,0.6889699850407759,2000,participant,301,898,20261928
GPT-5,#DE8F05,history_ratings_only,History + ratings only,Content,directional_macro_f1,0.5006089631741756,0.4530942231983288,0.5465556987673811,2000,participant,301,898,20261928
GPT-5,#DE8F05,history_ratings_only,History + ratings only,Coping,accuracy,0.3730512249443207,0.339265850945495,0.4077840022296544,2000,participant,301,898,20261928
GPT-5,#DE8F05,history_ratings_only,History + ratings only,Coping,macro_f1,0.35097042533150036,0.31200191645224223,0.3875497067814995,2000,participant,301,898,20261928
GPT-5,#DE8F05,history_ratings_only,History + ratings only,Coping,qwk,0.4651496172106724,0.39579380706308154,0.5306802451603719,2000,participant,301,898,20261928
GPT-5,#DE8F05,history_ratings_only,History + ratings only,Coping,directional_accuracy,0.5734966592427617,0.5363108250344102,0.6114313901099516,2000,participant,301,898,20261928
